Name reduce-output-bytes shuffle-finish reduce-finish
task_200904102259_0008_r_000266 370181100 35 44
task_200904102259_0008_r_000267 369984200 35 49
task_200904102259_0008_r_000268 370138800 34 42
task_200904102259_0008_r_000269 370527900 34 43
task_200904102259_0008_r_000270 370352100 34 44
task_200904102259_0008_r_000271 370534100 33 41
task_200904102259_0008_r_000272 370514700 34 42
task_200904102259_0008_r_000273 370529400 33 42
task_200904102259_0008_r_000274 370305600 34 42
task_200904102259_0008_r_000275 370475800 34 43
task_200904102259_0008_r_000276 370078000 36 45
task_200904102259_0008_r_000277 370847800 34 44
task_200904102259_0008_r_000278 370342400 36 45
task_200904102259_0008_r_000279 370447600 35 44
task_200904102259_0008_r_000280 370171200 34 43
task_200904102259_0008_r_000281 370107900 33 42
task_200904102259_0008_r_000282 370232900 34 42
task_200904102259_0008_r_000283 370450800 34 43
task_200904102259_0008_r_000284 370319700 35 44
task_200904102259_0008_r_000285 370643000 33 42
task_200904102259_0008_r_000286 370486900 34 43
task_200904102259_0008_r_000287 370334600 32 43
task_200904102259_0008_r_000288 370672400 35 43
task_200904102259_0008_r_000289 370251800 34 43
task_200904102259_0008_r_000290 370644300 35 43
task_200904102259_0008_r_000291 370181700 34 43
task_200904102259_0008_r_000292 370027000 34 44
task_200904102259_0008_r_000293 370097200 35 44
task_200904102259_0008_r_000294 370395000 35 44
task_200904102259_0008_r_000295 370222900 35 45
task_200904102259_0008_r_000296 370587000 34 44
task_200904102259_0008_r_000297 370222400 34 44
task_200904102259_0008_r_000298 370684500 35 44
task_200904102259_0008_r_000299 369799700 31 39
task_200904102259_0008_r_000300 370152400 35 44
task_200904102259_0008_r_000301 370325800 35 43
task_200904102259_0008_r_000302 370511000 35 44
task_200904102259_0008_r_000303 370412300 35 43
task_200904102259_0008_r_000304 370626800 35 44
task_200904102259_0008_r_000305 370511400 40 48
task_200904102259_0008_r_000306 370380400 34 42
task_200904102259_0008_r_000307 370543100 35 43
task_200904102259_0008_r_000308 370413000 33 44
task_200904102259_0008_r_000309 370418800 33 43
task_200904102259_0008_r_000310 370473700 33 43
task_200904102259_0008_r_000311 370410600 33 44
task_200904102259_0008_r_000312 370620200 33 45
task_200904102259_0008_r_000313 370320000 34 45
task_200904102259_0008_r_000314 370475400 34 43
task_200904102259_0008_r_000315 370560000 34 45
task_200904102259_0008_r_000316 370361200 33 41
task_200904102259_0008_r_000317 370583000 35 44
task_200904102259_0008_r_000318 370648200 34 44
task_200904102259_0008_r_000319 370249100 33 41
task_200904102259_0008_r_000320 370240400 34 43
task_200904102259_0008_r_000321 370388600 33 44
task_200904102259_0008_r_000322 370362100 34 42
task_200904102259_0008_r_000323 370389100 33 41
task_200904102259_0008_r_000324 370325100 34 42
task_200904102259_0008_r_000325 370339000 35 43
task_200904102259_0008_r_000326 370005700 35 43
task_200904102259_0008_r_000327 370488500 35 44
task_200904102259_0008_r_000328 370094100 33 41
task_200904102259_0008_r_000329 370005900 33 41
task_200904102259_0008_r_000330 370473400 43 51
task_200904102259_0008_r_000331 370530400 34 43
task_200904102259_0008_r_000332 370178500 33 42
task_200904102259_0008_r_000333 370653600 33 42
task_200904102259_0008_r_000334 370336600 33 42
task_200904102259_0008_r_000335 370371000 34 42
task_200904102259_0008_r_000336 370327100 35 43
task_200904102259_0008_r_000337 370413600 34 43
task_200904102259_0008_r_000338 370390200 35 43
task_200904102259_0008_r_000339 370638400 38 46
task_200904102259_0008_r_000340 370256500 34 48
task_200904102259_0008_r_000341 370230400 35 48
task_200904102259_0008_r_000342 370397100 34 43
task_200904102259_0008_r_000343 370437300 32 47
task_200904102259_0008_r_000344 370491100 39 48
task_200904102259_0008_r_000345 370362100 35 45
task_200904102259_0008_r_000346 370176100 36 46
task_200904102259_0008_r_000347 370499900 35 43
task_200904102259_0008_r_000348 370517800 35 46
task_200904102259_0008_r_000349 370143300 33 44
task_200904102259_0008_r_000350 370584300 33 42
task_200904102259_0008_r_000351 370334700 35 44
task_200904102259_0008_r_000352 370456700 35 45
task_200904102259_0008_r_000353 370745900 35 45
task_200904102259_0008_r_000354 370867400 35 43
task_200904102259_0008_r_000355 370080100 33 43
task_200904102259_0008_r_000356 370143600 34 42
task_200904102259_0008_r_000357 370480100 34 43
task_200904102259_0008_r_000358 370393700 33 42
task_200904102259_0008_r_000359 370345200 33 42
task_200904102259_0008_r_000360 370070600 32 40
task_200904102259_0008_r_000361 370442600 39 46
task_200904102259_0008_r_000362 370068500 34 43
task_200904102259_0008_r_000363 370580000 35 44
task_200904102259_0008_r_000364 370457400 35 42
task_200904102259_0008_r_000365 370072800 34 42
task_200904102259_0008_r_000366 370650100 36 45
task_200904102259_0008_r_000367 370258500 35 43
task_200904102259_0008_r_000368 370172200 33 43
task_200904102259_0008_r_000369 370161300 33 43
task_200904102259_0008_r_000370 370098400 33 45
task_200904102259_0008_r_000371 370430300 34 43
task_200904102259_0008_r_000372 370657400 34 44
task_200904102259_0008_r_000373 370152500 34 44
task_200904102259_0008_r_000374 370406600 32 41
task_200904102259_0008_r_000375 370219000 34 42
task_200904102259_0008_r_000376 370197500 33 42
task_200904102259_0008_r_000377 370674500 33 42
task_200904102259_0008_r_000378 370334800 34 42
task_200904102259_0008_r_000379 370294500 32 41
task_200904102259_0008_r_000380 370013500 35 45
task_200904102259_0008_r_000381 370260800 35 45
task_200904102259_0008_r_000382 370312900 38 48
task_200904102259_0008_r_000383 370372900 35 45
task_200904102259_0008_r_000384 370294500 34 42
task_200904102259_0008_r_000385 370154000 39 48
task_200904102259_0008_r_000386 369964400 35 43
